funcname,n,seconds
bubble_sort,10,1.66667e-06
bubble_sort,100,6.86667e-05
bubble_sort,1000,0.006598
bubble_sort,10000,0.576735
bubble_sort,100000,58.3764
insertion_sort,10,6.66667e-07
insertion_sort,100,1.63333e-05
insertion_sort,1000,0.00128467
insertion_sort,10000,0.131466
insertion_sort,100000,12.8141
spin_the_bottle_sort,10,3.3e-05
spin_the_bottle_sort,100,0.00354367
spin_the_bottle_sort,1000,4.43243
shell_sort,10,1e-06
shell_sort,100,1.83333e-05
shell_sort,1000,0.000213333
shell_sort,10000,0.00347867
shell_sort,100000,0.050722
